epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1354.23,1.24159,0.68078,0.9121,0.76176,0.41735,0.49355,0.25439,1.45058,0.75555,0.87432,0.0005941,0.0005941,0.0005941
43,1386.75,1.28984,0.70329,0.90728,0.67802,0.42673,0.47744,0.24421,1.47856,0.79502,0.88639,0.0005842,0.0005842,0.0005842
44,1418.98,1.27659,0.68907,0.89889,0.7324,0.43329,0.49358,0.24699,1.52591,0.76787,0.89776,0.0005743,0.0005743,0.0005743
45,1451.03,1.24834,0.67501,0.90397,0.74944,0.43946,0.50366,0.25867,1.44652,0.72629,0.87555,0.0005644,0.0005644,0.0005644
46,1483.28,1.24205,0.67831,0.90164,0.70106,0.43252,0.49497,0.25152,1.45662,0.73063,0.88551,0.0005545,0.0005545,0.0005545
47,1515.14,1.21736,0.66141,0.89914,0.65043,0.46125,0.50044,0.26445,1.51843,0.74922,0.89271,0.0005446,0.0005446,0.0005446
48,1547.28,1.20577,0.66291,0.89137,0.63171,0.46954,0.49038,0.25353,1.49572,0.76888,0.89295,0.0005347,0.0005347,0.0005347
49,1579.23,1.25045,0.6916,0.89926,0.64853,0.45653,0.48772,0.24841,1.45306,0.76849,0.87644,0.0005248,0.0005248,0.0005248
50,1611.17,1.23783,0.6774,0.89345,0.68126,0.45314,0.50749,0.26446,1.42662,0.74836,0.88128,0.0005149,0.0005149,0.0005149
51,1643.27,1.18153,0.64869,0.90035,0.73093,0.45422,0.50946,0.26043,1.46983,0.76819,0.89148,0.000505,0.000505,0.000505
52,1675.34,1.20691,0.66347,0.89486,0.7761,0.44746,0.51848,0.26438,1.44534,0.71657,0.88426,0.0004951,0.0004951,0.0004951
53,1707.65,1.23348,0.66108,0.89886,0.74357,0.44804,0.4954,0.25164,1.46913,0.74781,0.88944,0.0004852,0.0004852,0.0004852
54,1739.73,1.20711,0.64045,0.89651,0.77077,0.45055,0.51536,0.25898,1.50067,0.73636,0.89166,0.0004753,0.0004753,0.0004753
55,1772.3,1.18092,0.64872,0.88891,0.748,0.43683,0.50762,0.25774,1.4849,0.72703,0.89375,0.0004654,0.0004654,0.0004654
56,1804.76,1.21402,0.65652,0.88673,0.72419,0.44583,0.5148,0.25377,1.50224,0.74788,0.89059,0.0004555,0.0004555,0.0004555
