epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1447.98,1.28492,0.69934,0.87177,0.78736,0.43435,0.5158,0.28583,1.27806,0.65419,0.86853,0.0005941,0.0005941,0.0005941
43,1482.07,1.26953,0.68077,0.88652,0.73966,0.47525,0.50077,0.29034,1.1948,0.64179,0.85677,0.0005842,0.0005842,0.0005842
44,1516.39,1.32684,0.71333,0.87382,0.7998,0.45088,0.51197,0.29632,1.21655,0.64076,0.85804,0.0005743,0.0005743,0.0005743
45,1550.01,1.2548,0.67361,0.8747,0.71758,0.49594,0.52176,0.29236,1.26704,0.66206,0.86339,0.0005644,0.0005644,0.0005644
46,1583.63,1.2738,0.68377,0.86992,0.77778,0.47284,0.52423,0.29334,1.29312,0.64548,0.8645,0.0005545,0.0005545,0.0005545
47,1617.62,1.32127,0.70928,0.87844,0.70977,0.46688,0.49694,0.27562,1.21242,0.70641,0.85444,0.0005446,0.0005446,0.0005446
48,1651.59,1.31991,0.70144,0.87204,0.73518,0.47944,0.51821,0.29855,1.23113,0.63837,0.85667,0.0005347,0.0005347,0.0005347
49,1685.36,1.29441,0.67741,0.88016,0.71308,0.4756,0.51339,0.29301,1.26729,0.66157,0.86259,0.0005248,0.0005248,0.0005248
50,1719.11,1.27446,0.67482,0.88097,0.74248,0.46296,0.50759,0.27695,1.31885,0.66513,0.86714,0.0005149,0.0005149,0.0005149
51,1752.47,1.29776,0.6882,0.87696,0.70495,0.48622,0.52627,0.29939,1.19536,0.62633,0.85301,0.000505,0.000505,0.000505
52,1786.13,1.24641,0.64052,0.86729,0.76885,0.45804,0.52115,0.29139,1.2688,0.66492,0.86017,0.0004951,0.0004951,0.0004951
53,1819.52,1.25145,0.68063,0.86335,0.74601,0.46789,0.51503,0.30065,1.26252,0.65398,0.8653,0.0004852,0.0004852,0.0004852
54,1852.56,1.23855,0.66571,0.86603,0.74754,0.46693,0.51961,0.2958,1.26595,0.64531,0.86529,0.0004753,0.0004753,0.0004753
55,1885.63,1.28861,0.6749,0.87157,0.75594,0.47999,0.52534,0.2972,1.18538,0.63709,0.85193,0.0004654,0.0004654,0.0004654
56,1920.1,1.26302,0.6651,0.86263,0.80435,0.46877,0.52775,0.30104,1.1846,0.62547,0.85289,0.0004555,0.0004555,0.0004555
57,1953.38,1.1764,0.62894,0.8775,0.78302,0.4619,0.51496,0.29572,1.2991,0.65832,0.86887,0.0004456,0.0004456,0.0004456
58,1986.92,1.20096,0.6344,0.8702,0.78162,0.47781,0.51915,0.29896,1.20454,0.63784,0.85028,0.0004357,0.0004357,0.0004357
59,2019.49,1.26703,0.65469,0.87391,0.79257,0.48759,0.53134,0.30059,1.26899,0.63028,0.85844,0.0004258,0.0004258,0.0004258
60,2052.15,1.2058,0.64882,0.87449,0.79741,0.47478,0.52576,0.29018,1.20583,0.60732,0.84954,0.0004159,0.0004159,0.0004159
61,2084.95,1.22382,0.64574,0.85926,0.76065,0.49498,0.52204,0.30034,1.2456,0.62987,0.85704,0.000406,0.000406,0.000406
62,2117.77,1.24867,0.66322,0.86714,0.79214,0.48442,0.51825,0.28769,1.24426,0.65407,0.85913,0.0003961,0.0003961,0.0003961
63,2151.7,1.21086,0.62866,0.87219,0.76847,0.45913,0.52026,0.29255,1.23464,0.63433,0.85558,0.0003862,0.0003862,0.0003862
64,2187.9,1.17809,0.62359,0.85646,0.73311,0.49264,0.53178,0.29777,1.22464,0.61882,0.85773,0.0003763,0.0003763,0.0003763
65,2221.27,1.19178,0.61583,0.85791,0.78064,0.45303,0.51091,0.2948,1.22074,0.65492,0.85564,0.0003664,0.0003664,0.0003664
66,2254.67,1.22222,0.64795,0.85026,0.72034,0.50646,0.53333,0.31107,1.21642,0.6074,0.85679,0.0003565,0.0003565,0.0003565
67,2288.65,1.1847,0.60827,0.86329,0.78317,0.48099,0.53074,0.30278,1.18342,0.60362,0.85114,0.0003466,0.0003466,0.0003466
68,2322.23,1.17866,0.61416,0.87329,0.74001,0.49925,0.53785,0.30568,1.16759,0.58868,0.85066,0.0003367,0.0003367,0.0003367
69,2355.85,1.16092,0.61675,0.86004,0.78089,0.45966,0.52149,0.29929,1.17662,0.60231,0.85164,0.0003268,0.0003268,0.0003268
70,2389.59,1.16391,0.60841,0.86162,0.77396,0.47725,0.52887,0.30404,1.15226,0.59986,0.84491,0.0003169,0.0003169,0.0003169
71,2423.01,1.15799,0.60902,0.85912,0.78257,0.4833,0.53117,0.30737,1.19483,0.59766,0.85019,0.000307,0.000307,0.000307
72,2456.01,1.13766,0.58221,0.85353,0.78201,0.47504,0.53019,0.30809,1.1925,0.6183,0.84948,0.0002971,0.0002971,0.0002971
73,2488.94,1.14622,0.60076,0.86558,0.77336,0.46149,0.52384,0.30886,1.19148,0.60453,0.85178,0.0002872,0.0002872,0.0002872
74,2522.01,1.16736,0.61373,0.85322,0.80465,0.47286,0.53306,0.29786,1.19843,0.60584,0.85478,0.0002773,0.0002773,0.0002773
75,2554.7,1.13513,0.59622,0.84856,0.77467,0.48686,0.54625,0.30376,1.17287,0.58146,0.85219,0.0002674,0.0002674,0.0002674
76,2587.75,1.12877,0.58587,0.86906,0.8199,0.46405,0.52482,0.2965,1.19417,0.59603,0.85855,0.0002575,0.0002575,0.0002575
77,2620.95,1.14392,0.59656,0.85754,0.82992,0.45415,0.53411,0.30633,1.19068,0.60983,0.85259,0.0002476,0.0002476,0.0002476
78,2653.65,1.18412,0.60426,0.85294,0.79326,0.46791,0.52194,0.30709,1.17999,0.59794,0.84725,0.0002377,0.0002377,0.0002377
79,2685.9,1.11374,0.58364,0.85168,0.86456,0.46517,0.53707,0.30599,1.17327,0.59551,0.8495,0.0002278,0.0002278,0.0002278
80,2718.69,1.15871,0.59646,0.85072,0.84762,0.45032,0.53701,0.30811,1.16346,0.58924,0.85346,0.0002179,0.0002179,0.0002179
81,2751.5,1.16157,0.60786,0.85274,0.83747,0.46517,0.53911,0.30843,1.16039,0.58111,0.84932,0.000208,0.000208,0.000208
82,2784.06,1.11799,0.58171,0.85305,0.72915,0.49429,0.52615,0.30624,1.17077,0.58058,0.84961,0.0001981,0.0001981,0.0001981
83,2818.33,1.19229,0.61778,0.85601,0.73673,0.49045,0.53575,0.31022,1.14446,0.57409,0.84499,0.0001882,0.0001882,0.0001882
84,2856.44,1.09356,0.5623,0.84798,0.77138,0.48642,0.53866,0.31305,1.12726,0.57621,0.842,0.0001783,0.0001783,0.0001783
85,2900.92,1.11293,0.58175,0.86029,0.81191,0.47473,0.54072,0.31505,1.14374,0.57906,0.84308,0.0001684,0.0001684,0.0001684
86,2944.69,1.07168,0.53996,0.86028,0.76855,0.48346,0.53979,0.31113,1.13206,0.57426,0.84469,0.0001585,0.0001585,0.0001585
87,2987.08,1.10424,0.56946,0.85634,0.76784,0.48055,0.52935,0.31038,1.13956,0.57639,0.84653,0.0001486,0.0001486,0.0001486
